id,source,url,title,description,tambon,amphoe,province,category,lat,lon
BS2560-02,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=BS2560-02,ร่มกระดาษสา,,ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
BS-UT-2561-001,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=BS-UT-2561-001,สว่านมือ,สว่านมือ,ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A2-01,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A2-01,หัวร่ม,"หัว ทำจากไม้เนื้ออ่อน เช่น ไม้ตีนเป็ด, ไม้ส้มเห็ด, ไม้ตุ้มคำ และ ไม้แก พบมากตามหัวไร่ ปลายนา ในเขต อ.สันกำแพงและ อ.ดอยสะเก็ด
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A2-02,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A2-02,ตุ้ม,"ตุ้ม ทำจากไม้เนื้ออ่อน เช่น ไม้ตีนเป็ด, ไม้ส้มเห็ด, ไม้ตุ้มคำ และ ไม้แก พบมากตามหัวไร่ ปลายนา ในเขต อ.สันกำแพงและ อ.ดอยสะเก็ด
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A2-03,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A2-03,คันร่ม,"คันถือ ทำจาก ไม้ไผ่เล่มเล็ก หรือ ไม้เนื้ออ่อนก็ได้ พบมากตามหัวไร่ ปลายนา ในเขต อ.สันกำแพง และ อ.ดอยสะเก็ด
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A2-06,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A2-06,ซี่ค้ำร่ม,"ซี่ค้ำ ทำจาก ไม้ไผ่ตง เพราะเหนียวและทนทาน บริเวณเชิงดอย ในเขต อ.สันกำแพง และ อ.ดอยสะเก็ด
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A2-07,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A2-07,ซี่กลอนร่ม,"ซี่กลอน ทำจากไม้ไผ่ตง เพราะเหนียวและทนทาน บริเวณเชิงดอย ในเขต อ.สันกำแพง และ อ.ดอยสะเก็ด
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A-08,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A-08,ม้าร่ม,"ม้า (สลัก) ทำจากสำหรับร่มเล็กทำด้วยสปริงเหล็ก ส่วนร่มใหญ่ทำด้วยไม้ไผ่เหลา บริเวณเชิงดอย ในเขต อ.สันกำแพง และ อ.ดอยสะเก็ด
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A-09,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A-09,ปลอกลาน,"ปลอกลาน ทำจาก ใบลาน ทำหน้าที่เป็นตัวเคลื่อนขึ้น-ลง เวลากางหรือหุบร่ม พบมากตามหัวไร่ ปลายนา ในเขต อ.สันกำแพง และ อ.ดอยสะเก็ด
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
A-10,ศูนย์อุตสาหกรรมทำร่ม,https://www.anurak.in.th/handmadeumbrella/site/theme/muse_show_cat1.php?refcode=A-10,ด้ายร่ม,"ด้าย (ฝ้าย) ใช้ขึงยึด ซี่โครง ซี่ค้ำ หัวร่ม ตุ้มร่ม และจัดช่องไฟบริเวณชายร่ม มาจากโรงปั่นฝ้าย (ด้าย) ในเขต อ.สันกำแพง
",ต้นเปา,สันกำแพง,เชียงใหม่,โบราณวัตถุ,18.764342300000003,99.0822906
